subject,rt,sex,native_language,answer,frequency,class
A1,6.340359,F,English,correct,4.859812,animal
A1,6.308098,F,English,correct,4.60517,animal
A1,6.349139,F,English,correct,4.997212,plant
A1,6.186209,F,English,correct,4.727388,plant
A1,6.025866,F,English,correct,7.667626,animal
A1,6.180017,F,English,correct,4.060443,plant
A1,6.035481,F,English,correct,4.75359,plant
A1,6.263398,F,English,correct,4.70953,animal
A1,6.459904,F,English,correct,3.044522,plant
A1,6.184149,F,English,correct,4.204693,plant
A1,6.137727,F,English,correct,5.298317,animal
A1,6.242223,F,English,correct,4.043051,animal
A1,6.003887,F,English,correct,2.484907,plant
A1,6.035481,F,English,correct,5.631212,plant
A1,6.322565,F,English,correct,5.700444,animal
A1,5.988961,F,English,correct,6.228511,animal
A1,6.285998,F,English,correct,1.791759,plant
A1,6.381816,F,English,correct,5.545177,plant
A1,5.958425,F,English,correct,4.59512,plant
A1,6.124683,F,English,incorrect,5.918894,animal
A1,6.741701,F,English,correct,4.442651,plant
A1,6.821107,F,English,correct,2.995732,animal
A1,6.40688,F,English,correct,3.044522,animal
A1,6.421622,F,English,correct,5.267858,animal
A1,6.320768,F,English,correct,3.970292,animal
A1,6.20859,F,English,correct,4.976734,plant
A1,6.214608,F,English,correct,4.615121,animal
A1,7.114769,F,English,correct,4.624973,animal
A1,6.09131,F,English,correct,4.844187,animal
A1,6.20859,F,English,correct,5.192957,plant
A1,6.36647,F,English,correct,5.652489,animal
A1,6.582025,F,English,correct,6.461468,plant
A1,6.514713,F,English,correct,5.129899,animal
A1,6.352629,F,English,correct,3.555348,plant
A1,6.278521,F,English,correct,3.663562,plant
A1,5.988961,F,English,correct,5.805135,animal
A1,6.079933,F,English,correct,4.007333,animal
A1,6.126869,F,English,correct,3.988984,plant
A1,6.284134,F,English,correct,4.812184,plant
A1,6.089045,F,English,correct,6.577861,animal
A1,6.383507,F,English,correct,4.454347,plant
A1,6.22059,F,English,correct,2.079442,plant
A1,6.381816,F,English,correct,4.418841,animal
A1,6.202536,F,English,correct,6.660575,animal
A1,6.356108,F,English,correct,6.109248,animal
A1,6.107023,F,English,correct,5.880533,animal
A1,6.517671,F,English,correct,4.248495,animal
A1,6.317165,F,English,correct,6.120297,animal
A1,6.086775,F,English,correct,5.541264,animal
A1,6.163315,F,English,correct,2.833213,plant
A1,6.673298,F,English,correct,3.828641,plant
A1,6.434547,F,English,correct,3.332205,plant
A1,6.33328,F,English,correct,3.663562,plant
A1,6.202536,F,English,correct,5.023881,plant
A1,6.111467,F,English,correct,6.098074,animal
A1,6.326149,F,English,correct,6.063785,animal
A1,6.903747,F,English,correct,3.637586,animal
A1,6.306275,F,English,correct,5.117994,animal
A1,6.118097,F,English,correct,6.304449,plant
A1,6.472346,F,English,correct,3.044522,plant
A1,6.697034,F,English,correct,4.682131,animal
A1,6.148468,F,English,correct,7.086738,animal
A1,6.59987,F,English,correct,2.484907,plant
A1,6.775366,F,English,correct,5.347108,animal
A1,6.36647,F,English,correct,3.332205,animal
A1,6.274762,F,English,correct,3.951244,animal
A1,6.023448,F,English,correct,7.77191,animal
A1,6.139885,F,English,correct,5.537334,plant
A1,6.293419,F,English,correct,2.890372,animal
A1,6.021023,F,English,correct,2.70805,animal
A1,6.188264,F,English,correct,6.378426,plant
A1,6.194405,F,English,correct,3.433987,plant
A1,5.899897,F,English,correct,6.59987,animal
A1,6.364751,F,English,correct,5.214936,animal
A1,5.97381,F,English,correct,5.587249,plant
A1,6.037871,F,English,correct,4.962845,animal
A1,5.97381,F,English,correct,4.49981,plant
A1,6.282267,F,English,correct,4.127134,plant
A1,6.040255,F,English,correct,5.783825,animal
A2,6.329721,M,English,correct,7.667626,animal
A2,6.20859,M,English,correct,3.828641,plant
A2,6.270988,M,English,correct,3.951244,animal
A2,6.45047,M,English,correct,4.007333,animal
A2,6.36647,M,English,correct,4.49981,plant
A2,6.293419,M,English,correct,6.109248,animal
A2,6.198479,M,English,correct,5.587249,plant
A2,6.154858,M,English,correct,5.298317,animal
A2,6.20859,M,English,correct,5.541264,animal
A2,6.156979,M,English,correct,4.812184,plant
A2,6.146329,M,English,correct,4.418841,animal
A2,5.942799,M,English,correct,6.228511,animal
A2,5.993961,M,English,incorrect,3.637586,animal
A2,6.167516,M,English,correct,4.844187,animal
A2,6.013715,M,English,correct,3.970292,animal
A2,6.161207,M,English,correct,4.442651,plant
A2,6.146329,M,English,correct,3.044522,plant
A2,6.2106,M,English,correct,5.631212,plant
A2,6.163315,M,English,correct,6.59987,animal
A2,6.831954,M,English,correct,6.098074,animal
A2,6.154858,M,English,incorrect,2.484907,plant
A2,6.2106,M,English,correct,2.70805,animal
A2,6.22059,M,English,correct,4.997212,plant
A2,6.253829,M,English,correct,4.043051,animal
A2,6.082219,M,English,correct,4.859812,animal
A2,6.289716,M,English,correct,3.663562,plant
A2,6.068426,M,English,correct,5.805135,animal
A2,6.152733,M,English,correct,3.044522,plant
A2,6.192362,M,English,correct,5.700444,animal
A2,6.721426,M,English,correct,3.332205,plant
A2,6.222576,M,English,correct,2.890372,animal
A2,6.154858,M,English,correct,5.880533,animal
A2,6.53814,M,English,correct,4.248495,animal
A2,6.025866,M,English,correct,3.433987,plant
A2,5.942799,M,English,correct,4.615121,animal
A2,6.086775,M,English,correct,5.129899,animal
A2,6.20859,M,English,correct,4.454347,plant
A2,6.152733,M,English,correct,5.117994,animal
A2,6.22059,M,English,correct,5.545177,plant
A2,6.280396,M,English,correct,2.833213,plant
A2,6.159095,M,English,correct,1.791759,plant
A2,5.993961,M,English,correct,4.75359,plant
A2,6.641182,M,English,correct,3.044522,animal
A2,6.248043,M,English,correct,4.060443,plant
A2,6.230481,M,English,correct,3.663562,plant
A2,6.163315,M,English,correct,3.332205,animal
A2,5.966147,M,English,correct,7.77191,animal
A2,6.434547,M,English,correct,4.60517,animal
A2,6.077642,M,English,correct,5.347108,animal
A2,5.902633,M,English,correct,5.267858,animal
A2,6.249975,M,English,correct,4.727388,plant
A2,6.095825,M,English,correct,6.120297,animal
A2,6.169611,M,English,correct,5.918894,animal
A2,6.214608,M,English,correct,4.682131,animal
A2,6.345636,M,English,correct,5.783825,animal
A2,6.363028,M,English,correct,5.023881,plant
A2,6.169611,M,English,correct,6.461468,plant
A2,6.278521,M,English,correct,4.976734,plant
A2,6.115892,M,English,correct,6.378426,plant
A2,6.285998,M,English,correct,3.988984,plant
A2,6.251904,M,English,correct,6.577861,animal
A2,6.175867,M,English,correct,4.127134,plant
A2,6.113682,M,English,correct,5.214936,animal
A2,6.284134,M,English,correct,2.995732,animal
A2,6.013715,M,English,correct,2.484907,plant
A2,6.075346,M,English,correct,4.59512,plant
A2,6.104793,M,English,correct,5.537334,plant
A2,5.828946,M,English,incorrect,6.660575,animal
A2,6.522093,M,English,correct,4.70953,animal
A2,6.23637,M,English,correct,6.063785,animal
A2,6.489205,M,English,correct,4.962845,animal
A2,6.700731,M,English,correct,2.079442,plant
A2,6.466145,M,English,correct,4.624973,animal
A2,6.257668,M,English,correct,3.555348,plant
A2,6.315358,M,English,correct,4.204693,plant
A2,6.308098,M,English,correct,5.652489,animal
A2,6.23637,M,English,correct,5.192957,plant
A2,6.198479,M,English,correct,7.086738,animal
A2,6.12905,M,English,correct,6.304449,plant
A3,6.410175,F,Other,correct,4.75359,plant
A3,6.315358,F,Other,correct,4.615121,animal
A3,6.385194,F,Other,correct,4.997212,plant
A3,6.35437,F,Other,correct,3.332205,animal
A3,6.716595,F,Other,correct,2.484907,plant
A3,6.261492,F,Other,correct,5.631212,plant
A3,6.304449,F,Other,correct,3.663562,plant
A3,6.408529,F,Other,correct,5.347108,animal
A3,6.331502,F,Other,correct,6.660575,animal
A3,6.401917,F,Other,correct,5.880533,animal
A3,6.313548,F,Other,correct,3.044522,plant
A3,6.483107,F,Other,correct,4.859812,animal
A3,6.327937,F,Other,correct,3.433987,plant
A3,6.234411,F,Other,correct,5.652489,animal
A3,6.36647,F,Other,correct,6.228511,animal
A3,6.327937,F,Other,correct,4.49981,plant
A3,6.472346,F,Other,correct,4.624973,animal
A3,6.376727,F,Other,correct,5.267858,animal
A3,6.383507,F,Other,correct,1.791759,plant
A3,6.36647,F,Other,correct,2.70805,animal
A3,6.510258,F,Other,correct,4.418841,animal
A3,6.253829,F,Other,correct,5.117994,animal
A3,6.263398,F,Other,correct,3.044522,animal
A3,6.401917,F,Other,correct,2.484907,plant
A3,6.280396,F,Other,correct,3.970292,animal
A3,6.44572,F,Other,correct,3.663562,plant
A3,6.317165,F,Other,correct,4.976734,plant
A3,6.356108,F,Other,correct,4.812184,plant
A3,6.238325,F,Other,correct,6.120297,animal
A3,6.804615,F,Other,correct,3.637586,animal
A3,6.376727,F,Other,correct,5.214936,animal
A3,6.240276,F,Other,correct,3.951244,animal
A3,6.194405,F,Other,correct,5.023881,plant
A3,6.447306,F,Other,correct,7.086738,animal
A3,6.359574,F,Other,correct,6.063785,animal
A3,6.437752,F,Other,correct,4.59512,plant
A3,6.302619,F,Other,correct,4.454347,plant
A3,6.263398,F,Other,correct,6.59987,animal
A3,6.251904,F,Other,correct,4.442651,plant
A3,6.33328,F,Other,correct,6.304449,plant
A3,6.171701,F,Other,correct,5.783825,animal
A3,6.289716,F,Other,correct,4.127134,plant
A3,6.25575,F,Other,correct,3.332205,plant
A3,6.253829,F,Other,correct,6.109248,animal
A3,6.487684,F,Other,correct,2.890372,animal
A3,6.452049,F,Other,correct,4.043051,animal
A3,6.405228,F,Other,correct,5.541264,animal
A3,6.242223,F,Other,correct,6.378426,plant
A3,6.437752,F,Other,correct,4.007333,animal
A3,6.375025,F,Other,correct,4.060443,plant
A3,6.475433,F,Other,correct,4.60517,animal
A3,6.452049,F,Other,correct,5.918894,animal
A3,6.415097,F,Other,correct,5.805135,animal
A3,6.378426,F,Other,correct,5.298317,animal
A3,6.444131,F,Other,correct,2.833213,plant
A3,6.361302,F,Other,correct,5.129899,animal
A3,6.55108,F,Other,correct,5.545177,plant
A3,7.044033,F,Other,correct,4.204693,plant
A3,6.459904,F,Other,correct,4.248495,animal
A3,6.410175,F,Other,correct,5.537334,plant
A3,6.361302,F,Other,correct,6.098074,animal
A3,6.242223,F,Other,correct,7.667626,animal
A3,6.458338,F,Other,correct,4.727388,plant
A3,7.132498,F,Other,correct,3.044522,plant
A3,6.388561,F,Other,correct,5.587249,plant
A3,6.419995,F,Other,correct,5.700444,animal
A3,6.43294,F,Other,correct,2.995732,animal
A3,6.2106,F,Other,correct,6.461468,plant
A3,6.390241,F,Other,correct,3.988984,plant
A3,6.605298,F,Other,correct,4.682131,animal
A3,6.459904,F,Other,correct,3.555348,plant
A3,6.416732,F,Other,correct,4.70953,animal
A3,6.495266,F,Other,correct,6.577861,animal
A3,6.278521,F,Other,correct,3.828641,plant
A3,6.421622,F,Other,correct,7.77191,animal
A3,6.434547,F,Other,correct,4.844187,animal
A3,6.466145,F,Other,correct,5.192957,plant
A3,6.44254,F,Other,correct,2.079442,plant
A3,6.380123,F,Other,correct,4.962845,animal
C,6.533789,F,English,correct,4.248495,animal
C,6.53814,F,English,correct,6.109248,animal
C,6.246107,F,English,correct,3.044522,plant
C,6.416732,F,English,correct,3.433987,plant
C,6.284134,F,English,correct,4.418841,animal
C,6.473891,F,English,correct,5.023881,plant
C,6.269096,F,English,correct,5.298317,animal
C,6.398595,F,English,correct,5.541264,animal
C,6.196444,F,English,correct,5.880533,animal
C,6.33328,F,English,correct,6.59987,animal
C,6.173786,F,English,correct,5.783825,animal
C,6.173786,F,English,correct,4.682131,animal
C,6.180017,F,English,correct,7.086738,animal
C,6.386879,F,English,correct,1.791759,plant
C,6.499787,F,English,correct,2.079442,plant
C,6.173786,F,English,correct,5.918894,animal
C,6.070738,F,English,correct,5.700444,animal
C,6.304449,F,English,correct,4.844187,animal
C,6.20859,F,English,correct,3.970292,animal
C,6.395262,F,English,correct,3.988984,plant
C,6.483107,F,English,correct,4.962845,animal
C,6.293419,F,English,correct,4.75359,plant
C,6.293419,F,English,correct,6.577861,animal
C,6.272877,F,English,correct,4.49981,plant
C,6.496775,F,English,correct,4.624973,animal
C,6.25575,F,English,correct,6.098074,animal
C,6.234411,F,English,correct,6.228511,animal
C,6.380123,F,English,correct,3.663562,plant
C,6.306275,F,English,correct,3.828641,plant
C,6.259581,F,English,correct,6.660575,animal
C,6.249975,F,English,correct,6.304449,plant
C,6.280396,F,English,correct,4.442651,plant
C,6.487684,F,English,correct,3.637586,animal
C,6.586172,F,English,correct,5.347108,animal
C,6.411818,F,English,correct,5.652489,animal
C,6.36647,F,English,correct,6.063785,animal
C,6.214608,F,English,correct,2.70805,animal
C,6.276643,F,English,correct,3.555348,plant
C,6.326149,F,English,correct,4.976734,plant
C,6.270988,F,English,correct,6.120297,animal
C,6.190315,F,English,correct,5.587249,plant
C,6.115892,F,English,correct,4.727388,plant
C,6.285998,F,English,correct,5.214936,animal
C,6.295266,F,English,correct,2.484907,plant
C,6.287859,F,English,correct,4.60517,animal
C,6.284134,F,English,correct,4.454347,plant
C,6.23637,F,English,correct,6.378426,plant
C,6.186209,F,English,correct,5.631212,plant
C,6.43615,F,English,correct,7.77191,animal
C,6.369901,F,English,correct,4.70953,animal
C,6.152733,F,English,correct,5.267858,animal
C,6.146329,F,English,correct,3.332205,animal
C,6.440947,F,English,correct,4.204693,plant
C,6.173786,F,English,correct,3.663562,plant
C,6.331502,F,English,correct,4.59512,plant
C,6.486161,F,English,correct,3.951244,animal
C,6.171701,F,English,correct,5.537334,plant
C,6.324359,F,English,correct,7.667626,animal
C,6.679599,F,English,correct,5.129899,animal
C,6.311735,F,English,correct,3.044522,animal
C,6.423247,F,English,correct,6.461468,plant
C,6.591674,F,English,correct,3.044522,plant
C,6.405228,F,English,correct,2.484907,plant
C,6.338594,F,English,correct,4.060443,plant
C,6.418365,F,English,correct,4.812184,plant
C,6.376727,F,English,correct,5.805135,animal
C,6.163315,F,English,correct,4.615121,animal
C,6.46925,F,English,correct,4.043051,animal
C,6.265301,F,English,incorrect,2.833213,plant
C,6.385194,F,English,correct,5.545177,plant
C,6.493754,F,English,correct,3.332205,plant
C,6.426488,F,English,correct,2.995732,animal
C,6.171701,F,English,correct,4.859812,animal
C,6.180017,F,English,correct,4.997212,plant
C,6.293419,F,English,correct,5.117994,animal
C,6.304449,F,English,correct,2.890372,animal
C,6.364751,F,English,correct,4.007333,animal
C,6.246107,F,English,correct,4.127134,plant
C,6.234411,F,English,correct,5.192957,plant
D,6.232448,M,Other,correct,4.59512,plant
D,6.349139,M,Other,correct,4.962845,animal
D,6.375025,M,Other,correct,4.812184,plant
D,6.315358,M,Other,correct,4.49981,plant
D,6.440947,M,Other,correct,3.555348,plant
D,6.284134,M,Other,correct,2.833213,plant
D,6.300786,M,Other,correct,4.844187,animal
D,6.458338,M,Other,correct,4.454347,plant
D,6.350886,M,Other,correct,4.060443,plant
D,6.380123,M,Other,correct,6.120297,animal
D,6.272877,M,Other,correct,7.086738,animal
D,6.287859,M,Other,correct,5.652489,animal
D,6.466145,M,Other,correct,2.079442,plant
D,6.539586,M,Other,correct,5.545177,plant
D,6.472346,M,Other,correct,4.70953,animal
D,6.33328,M,Other,correct,2.890372,animal
D,6.602588,M,Other,correct,3.970292,animal
D,6.437752,M,Other,correct,5.214936,animal
D,6.122493,M,Other,correct,6.378426,plant
D,6.34388,M,Other,correct,3.951244,animal
D,6.122493,M,Other,correct,7.667626,animal
D,6.084499,M,Other,correct,5.023881,plant
D,6.175867,M,Other,correct,2.484907,plant
D,6.226537,M,Other,correct,5.541264,animal
D,5.993961,M,Other,correct,6.660575,animal
D,6.320768,M,Other,correct,2.484907,plant
D,6.588926,M,Other,correct,4.976734,plant
D,6.214608,M,Other,correct,6.109248,animal
D,6.434547,M,Other,correct,5.298317,animal
D,6.313548,M,Other,correct,5.805135,animal
D,6.244167,M,Other,correct,3.044522,plant
D,6.448889,M,Other,correct,3.433987,plant
D,6.261492,M,Other,correct,4.997212,plant
D,6.309918,M,Other,correct,4.859812,animal
D,6.514713,M,Other,correct,4.043051,animal
D,6.265301,M,Other,correct,6.098074,animal
D,6.265301,M,Other,incorrect,4.624973,animal
D,6.419995,M,Other,correct,5.587249,plant
D,6.361302,M,Other,correct,4.60517,animal
D,6.378426,M,Other,correct,3.828641,plant
D,6.49224,M,Other,correct,5.880533,animal
D,6.295266,M,Other,correct,6.063785,animal
D,6.368187,M,Other,correct,3.044522,plant
D,6.287859,M,Other,correct,5.918894,animal
D,6.309918,M,Other,incorrect,6.228511,animal
D,6.395262,M,Other,correct,3.332205,animal
D,6.165418,M,Other,correct,5.192957,plant
D,6.350886,M,Other,correct,5.631212,plant
D,6.59987,M,Other,correct,3.637586,animal
D,6.198479,M,Other,correct,6.304449,plant
D,6.297109,M,Other,correct,7.77191,animal
D,6.311735,M,Other,correct,4.75359,plant
D,6.594413,M,Other,correct,3.044522,animal
D,6.352629,M,Other,correct,4.127134,plant
D,6.40688,M,Other,incorrect,4.418841,animal
D,6.467699,M,Other,correct,2.70805,animal
D,6.33328,M,Other,correct,6.577861,animal
D,6.956545,M,Other,correct,5.267858,animal
D,6.44254,M,Other,correct,5.347108,animal
D,6.54535,M,Other,correct,3.663562,plant
D,6.244167,M,Other,correct,5.783825,animal
D,6.771936,M,Other,correct,3.988984,plant
D,6.395262,M,Other,correct,4.682131,animal
D,6.51323,M,Other,correct,5.537334,plant
D,6.552508,M,Other,correct,3.332205,plant
D,6.444131,M,Other,correct,4.007333,animal
D,6.415097,M,Other,correct,4.204693,plant
D,6.59987,M,Other,correct,3.663562,plant
D,6.455199,M,Other,correct,4.442651,plant
D,6.276643,M,Other,correct,4.727388,plant
D,6.98379,M,Other,correct,6.59987,animal
D,6.658011,M,Other,correct,5.117994,animal
D,6.790097,M,Other,correct,4.248495,animal
D,6.741701,M,Other,correct,5.129899,animal
D,6.572283,M,Other,correct,6.461468,plant
D,6.352629,M,Other,correct,2.995732,animal
D,6.603944,M,Other,correct,5.700444,animal
D,6.507278,M,Other,correct,4.615121,animal
D,6.719013,M,Other,correct,1.791759,plant
I,6.194405,F,Other,correct,4.007333,animal
I,6.566672,F,Other,correct,4.248495,animal
I,6.23637,F,Other,correct,6.660575,animal
I,6.495266,F,Other,correct,4.997212,plant
I,6.09131,F,Other,correct,6.378426,plant
I,6.09357,F,Other,correct,5.880533,animal
I,6.295266,F,Other,correct,4.615121,animal
I,6.363028,F,Other,correct,4.043051,animal
I,6.066108,F,Other,correct,6.098074,animal
I,6.102559,F,Other,correct,5.541264,animal
I,6.46925,F,Other,correct,4.418841,animal
I,6.259581,F,Other,correct,2.484907,plant
I,7.135687,F,Other,correct,6.120297,animal
I,5.97381,F,Other,correct,5.192957,plant
I,5.905362,F,Other,correct,4.976734,plant
I,6.263398,F,Other,correct,5.214936,animal
I,6.030685,F,Other,correct,6.304449,plant
I,6.431331,F,Other,correct,4.812184,plant
I,6.483107,F,Other,correct,3.663562,plant
I,6.194405,F,Other,correct,6.228511,animal
I,6.061457,F,Other,correct,3.663562,plant
I,6.368187,F,Other,correct,3.332205,animal
I,6.282267,F,Other,correct,4.962845,animal
I,6.320768,F,Other,correct,1.791759,plant
I,6.329721,F,Other,correct,4.75359,plant
I,6.390241,F,Other,correct,4.442651,plant
I,6.368187,F,Other,correct,2.995732,animal
I,6.383507,F,Other,correct,3.951244,animal
I,6.848005,F,Other,correct,2.833213,plant
I,6.146329,F,Other,correct,6.063785,animal
I,6.09131,F,Other,correct,5.023881,plant
I,6.167516,F,Other,correct,6.577861,animal
I,6.238325,F,Other,correct,4.127134,plant
I,6.326149,F,Other,correct,4.204693,plant
I,5.976351,F,Other,correct,6.461468,plant
I,6.331502,F,Other,correct,3.637586,animal
I,6.411818,F,Other,correct,3.332205,plant
I,6.148468,F,Other,correct,5.298317,animal
I,6.049733,F,Other,correct,5.545177,plant
I,5.961005,F,Other,correct,5.805135,animal
I,6.327937,F,Other,correct,5.347108,animal
I,6.251904,F,Other,correct,5.267858,animal
I,6.401917,F,Other,correct,2.484907,plant
I,6.837333,F,Other,correct,2.890372,animal
I,6.154858,F,Other,correct,3.988984,plant
I,6.161207,F,Other,correct,5.918894,animal
I,6.169611,F,Other,correct,7.086738,animal
I,5.998937,F,Other,correct,5.700444,animal
I,6.161207,F,Other,correct,3.433987,plant
I,6.068426,F,Other,correct,5.117994,animal
I,6.011267,F,Other,correct,5.587249,plant
I,6.212606,F,Other,correct,3.555348,plant
I,6.248043,F,Other,correct,5.129899,animal
I,6.357842,F,Other,correct,5.537334,plant
I,6.434547,F,Other,correct,2.079442,plant
I,6.177944,F,Other,correct,4.844187,animal
I,6.421622,F,Other,correct,5.652489,animal
I,6.575076,F,Other,correct,5.783825,animal
I,6.206576,F,Other,correct,4.70953,animal
I,6.369901,F,Other,correct,4.60517,animal
I,6.259581,F,Other,correct,7.667626,animal
I,6.186209,F,Other,correct,4.59512,plant
I,6.109248,F,Other,correct,4.859812,animal
I,6.666957,F,Other,correct,4.682131,animal
I,6.09357,F,Other,correct,3.970292,animal
I,5.981414,F,Other,correct,4.727388,plant
I,6.154858,F,Other,correct,6.59987,animal
I,6.063785,F,Other,correct,3.044522,plant
I,6.263398,F,Other,correct,4.454347,plant
I,6.070738,F,Other,correct,3.828641,plant
I,5.921578,F,Other,correct,6.109248,animal
I,6.398595,F,Other,correct,4.060443,plant
I,5.996452,F,Other,correct,5.631212,plant
I,6.400257,F,Other,correct,4.624973,animal
I,5.945421,F,Other,correct,3.044522,plant
I,6.008813,F,Other,correct,7.77191,animal
I,6.642487,F,Other,correct,3.044522,animal
I,6.244167,F,Other,correct,4.49981,plant
I,6.188264,F,Other,correct,2.70805,animal
J,6.714171,F,Other,correct,3.951244,animal
J,6.075346,F,Other,incorrect,3.637586,animal
J,6.519147,F,Other,correct,4.418841,animal
J,6.34388,F,Other,correct,4.976734,plant
J,6.34388,F,Other,correct,3.663562,plant
J,6.496775,F,Other,correct,5.805135,animal
J,6.848005,F,Other,correct,3.332205,animal
J,6.261492,F,Other,correct,6.660575,animal
J,6.246107,F,Other,correct,5.347108,animal
J,6.300786,F,Other,correct,1.791759,plant
J,6.194405,F,Other,incorrect,2.079442,plant
J,6.51323,F,Other,correct,4.682131,animal
J,6.148468,F,Other,correct,5.652489,animal
J,6.180017,F,Other,correct,5.631212,plant
J,6.356108,F,Other,correct,4.859812,animal
J,6.124683,F,Other,correct,7.667626,animal
J,6.352629,F,Other,correct,5.880533,animal
J,6.359574,F,Other,correct,3.828641,plant
J,6.180017,F,Other,correct,5.298317,animal
J,6.324359,F,Other,correct,4.844187,animal
J,6.393591,F,Other,correct,4.727388,plant
J,6.113682,F,Other,correct,5.537334,plant
J,6.317165,F,Other,correct,4.70953,animal
J,6.285998,F,Other,correct,3.988984,plant
J,6.177944,F,Other,correct,6.59987,animal
J,6.265301,F,Other,correct,6.228511,animal
J,6.113682,F,Other,incorrect,4.615121,animal
J,6.308098,F,Other,correct,7.77191,animal
J,6.161207,F,Other,correct,5.545177,plant
J,6.287859,F,Other,correct,2.833213,plant
J,6.586172,F,Other,correct,4.60517,animal
J,6.196444,F,Other,correct,5.918894,animal
J,6.098074,F,Other,incorrect,5.541264,animal
J,6.156979,F,Other,correct,4.442651,plant
J,6.327937,F,Other,correct,3.970292,animal
J,6.098074,F,Other,correct,5.129899,animal
J,6.098074,F,Other,incorrect,4.007333,animal
J,6.139885,F,Other,incorrect,4.043051,animal
J,6.040255,F,Other,correct,6.098074,animal
J,6.146329,F,Other,correct,6.461468,plant
J,6.289716,F,Other,correct,5.117994,animal
J,6.282267,F,Other,correct,4.060443,plant
J,6.345636,F,Other,correct,6.109248,animal
J,6.198479,F,Other,correct,3.044522,plant
J,6.267201,F,Other,correct,3.555348,plant
J,6.100319,F,Other,correct,6.304449,plant
J,6.049733,F,Other,correct,5.192957,plant
J,6.324359,F,Other,correct,4.454347,plant
J,6.122493,F,Other,correct,4.997212,plant
J,6.391917,F,Other,correct,5.214936,animal
J,6.336826,F,Other,correct,4.248495,animal
J,6.411818,F,Other,correct,4.49981,plant
J,6.566672,F,Other,correct,2.995732,animal
J,6.289716,F,Other,correct,4.75359,plant
J,6.082219,F,Other,correct,5.023881,plant
J,6.318968,F,Other,correct,6.063785,animal
J,6.703188,F,Other,correct,3.044522,animal
J,6.204558,F,Other,correct,5.587249,plant
J,6.086775,F,Other,incorrect,5.267858,animal
J,6.280396,F,Other,correct,4.962845,animal
J,6.400257,F,Other,correct,4.204693,plant
J,5.976351,F,Other,incorrect,3.663562,plant
J,6.163315,F,Other,incorrect,3.332205,plant
J,6.102559,F,Other,correct,6.378426,plant
J,5.910797,F,Other,incorrect,2.890372,animal
J,6.335054,F,Other,correct,4.624973,animal
J,6.263398,F,Other,correct,4.812184,plant
J,6.12905,F,Other,correct,7.086738,animal
J,6.113682,F,Other,correct,6.577861,animal
J,6.317165,F,Other,correct,3.433987,plant
J,6.133398,F,Other,correct,3.044522,plant
J,6.2106,F,Other,correct,4.127134,plant
J,6.163315,F,Other,correct,6.120297,animal
J,6.12905,F,Other,correct,2.70805,animal
J,6.2106,F,Other,correct,5.783825,animal
J,6.077642,F,Other,incorrect,2.484907,plant
J,6.317165,F,Other,incorrect,2.484907,plant
J,6.232448,F,Other,correct,4.59512,plant
J,6.084499,F,Other,correct,5.700444,animal
K,6.011267,F,English,correct,4.859812,animal
K,6.075346,F,English,correct,6.59987,animal
K,6.131226,F,English,correct,4.248495,animal
K,6.109248,F,English,correct,6.378426,plant
